Curing age (day),"Compressive strength, fcu,t (MPa)","Splitting tensile  strength, fst,t (MPa)"
7,76.7,6
28,93.5,6.7
7,84.4,5.8
28,95.3,6.9
7,78.1,5.5
28,90.2,6.2
7,82.4,5.8
28,90.6,6.4
7,83.1,5.9
28,89.4,6.7
28,67.3,4.35
28,67.4,4.38
28,68,4.48
28,69.1,4.52
28,68,4.42
28,68,4.48
28,69.3,4.5
28,73.5,4.55
28,68.8,4.32
28,69.1,4.52
28,69.2,4.53
28,70.8,4.55
28,71.9,4.58
28,70.3,4.43
28,46.3,3.25
28,55,3.56
28,66.5,3.85
28,73.5,4.55
28,74.3,4.6
28,82.5,4.65
28,70.8,4.28
28,78,4.35
28,82.5,4.65
28,76.5,4.25
28,76,4.19
28,74.2,4.14
28,74,4.13
28,74,4.12
28,52.03,3.3
28,60.14,3.7
28,80.37,4.4
28,89.24,4.6
7,24.3,1.28
28,34.6,1.68
7,24.8,1.34
28,34.9,1.8
7,25.9,1.34
28,35.9,1.82
7,25.5,1.48
28,36.4,1.96
7,26.3,1.64
28,37.9,2.15
7,27.4,1.72
28,38.2,2.19
7,25.7,1.81
28,36.5,2.17
3,48.9,3.35
7,64.1,5.36
28,80.2,5.75
3,49,3.07
7,66.3,5.65
28,80.1,6.01
3,48.2,2.97
7,61.7,5.33
28,75.3,5.85
28,51.2,3.78
28,54,3.96
28,28.8,2.73
28,35,3.31
28,39.8,3.72
28,28.9,1.98
28,33.3,2.42
28,30.2,2.26
28,30,2.15
28,28,1.98
28,25.3,1.89
28,24.9,1.84
28,22.5,1.7
28,26.7,1.84
28,24.4,1.7
28,29.6,2.25
28,21.3,1.7
28,20,1.59
28,19,1.36
28,18.2,1.42
28,26.5,2.69
28,31.8,2.91
28,30.9,2.83
28,30.8,2.69
28,22.3,2.26
28,28.4,2.42
28,26.5,2.36
28,27.5,2.31
28,28.1,2.42
28,29.2,2.39
28,28.7,2.54
28,29.8,2.36
28,24.2,2
28,25.1,2.04
28,26.6,2.31
28,23.5,2.17
28,23.1,1.99
28,29,2.5
28,31.2,2.64
28,34.8,2.76
28,33.5,2.57
28,32.9,2.49
28,21.6,1.87
28,23.3,2.09
28,26.3,2.09
28,23.5,1.74
28,22.5,1.7
7,25.9,1.38
